id,t1_d_flt_count_365_0,t2_d_flt_rate_economy_365_0,t2_flt_rate_first_business_365_0,t2_d_avg_discount_rate_365_0,t2_d_flt_count_eco0my_365_0,t2_flt_rate_eco0my_365_0,t2_flt_count_first_business_365_0,t3_flt_count_national_day_1095_0,t3_flt_count_may_day_1095_0,t3_flt_count_new_year_1095_0,t3_flt_count_1095_0,t3_flt_count_730_0,t5_d_flt_count_first_business_365_0,t5_complaint_count_365_0,t5_pre_seat_count_365_0,t5_far_insur_delay_issus_count_730_0,ICN_t0_mbsh_lvl_cd,ICN_t4_gnd_cd,t0_hhed_idx,y
102936,5,0.8,0.166666667,0.520197135,4,0.833333333,1,0,0,0,14,11,1,0,0,0,1,0,0,0
103188,18,1.0,0.0,0.723240224,18,1.0,0,0,0,0,39,37,0,0,0,0,1,1,0,0
100811,2,1.0,0.0,0.684466019,2,1.0,0,0,0,0,10,7,0,0,0,0,1,1,0,0
102515,18,1.0,0.0,0.87880361,18,1.0,0,0,0,0,34,30,0,0,0,0,1,1,0,0
100067,22,1.0,0.0,0.618964463,22,1.0,0,0,0,1,47,44,0,0,0,0,1,0,0,1
101842,5,1.0,0.0,0.645710075,5,1.0,0,0,0,0,13,11,0,0,0,0,1,0,0,0
102066,33,1.0,0.0,0.574088335,33,1.0,0,0,0,4,57,53,0,0,0,0,1,1,0,0
102102,48,1.0,0.0,0.683294688,48,1.0,0,2,0,0,77,74,0,0,0,0,2,1,1,0
103078,6,1.0,0.0,0.569159775,6,1.0,0,0,0,0,8,8,0,0,0,0,1,1,0,0
102241,14,1.0,0.0,0.68010868,14,1.0,0,2,1,0,36,28,0,0,0,0,1,1,0,0
100031,0,0.0,0.0,0.0,0,0.0,0,0,0,0,10,8,0,0,0,0,1,1,0,1
101293,2,1.0,0.0,0.329896907,2,1.0,0,0,0,0,8,8,0,0,0,0,1,1,0,0
103057,4,1.0,0.0,0.821705426,4,1.0,0,0,0,0,7,7,0,0,0,0,1,0,0,0
102751,6,1.0,0.0,0.760942761,6,1.0,0,0,0,0,10,9,0,0,0,0,1,0,0,0
100610,2,1.0,0.0,1.0,2,1.0,0,0,0,0,7,7,0,0,0,0,1,1,0,0
102495,30,0.966666667,0.025,0.654363857,29,0.975,1,0,0,0,40,40,1,0,0,0,1,0,0,0
100570,12,1.0,0.0,0.513383082,12,1.0,0,0,0,0,33,29,0,0,0,0,1,1,0,0
103397,12,1.0,0.0,0.387002343,12,1.0,0,0,0,0,33,31,0,0,0,0,1,1,1,0
100343,4,1.0,0.0,0.868303571,4,1.0,0,0,0,0,10,8,0,0,0,0,1,0,0,1
101600,2,1.0,0.0,0.747747748,2,1.0,0,0,0,0,2,2,0,0,0,0,1,1,0,0
101613,5,1.0,0.0,0.870454545,5,1.0,0,0,1,0,13,13,0,0,0,0,1,1,0,0
100678,0,0.0,0.0,0.0,0,0.0,0,0,0,0,9,8,0,0,0,0,1,1,0,0
101402,14,1.0,0.0,0.454269304,14,1.0,0,0,0,0,34,32,0,0,0,0,1,0,0,0
102798,11,1.0,0.0,0.370555433,11,1.0,0,0,0,0,33,29,0,0,0,0,1,1,0,0
103622,0,0.0,0.0,0.0,0,0.0,0,0,0,0,16,16,0,0,0,0,1,0,0,0
103293,14,1.0,0.0,0.62927289,14,1.0,0,4,1,0,21,19,0,0,0,0,1,1,0,0
101878,2,1.0,0.0,0.5,2,1.0,0,0,0,0,2,2,0,0,0,0,1,1,0,0
100976,3,1.0,0.0,0.238095238,3,1.0,0,0,0,0,7,7,0,0,0,0,1,0,0,0
103176,7,1.0,0.0,0.519361998,7,1.0,0,1,0,0,30,27,0,0,0,0,1,1,0,0
102506,5,1.0,0.0,0.33036609,5,1.0,0,0,0,0,6,6,0,0,0,0,0,1,0,0
102366,2,1.0,0.0,0.640776699,2,1.0,0,0,2,4,19,17,0,0,0,0,1,1,0,0
101803,19,1.0,0.0,0.437912516,19,1.0,0,0,1,0,33,33,0,0,0,0,1,1,0,0
100576,0,0.0,0.0,0.0,0,0.0,0,0,0,0,4,3,0,0,0,0,1,1,0,0
